"id","age","sex","admission_route","entry_score","cbse_repeat","gpa","pass_cbse"
1,19.1,"M","General",78.2,0,15.61,1
2,22.7,"M","General",81.9,0,16.22,1
3,23.7,"M","General",82.8,0,16.44,1
4,21.2,"F","General",66.1,0,15.69,1
5,23.9,"M","SemiSpecial",67.4,1,17.12,0
6,23,"M","General",83.6,0,16.5,1
7,23,"F","Olympiad",78.1,0,15.63,1
8,25.5,"F","General",85.3,1,17.07,0
9,21.8,"M","General",70.2,0,17.47,1
10,23,"M","General",65.8,0,14.27,1
11,20,"M","General",67.3,0,14.92,1
12,20.4,"F","Special",70.6,0,15.36,1
13,25.5,"M","General",83.5,0,17.15,1
14,19.9,"M","Olympiad",79.7,0,18.44,1
15,22.5,"M","General",80.4,0,15.44,1
16,25.4,"F","General",69.3,0,14.13,1
17,22.8,"F","Special",72.8,0,15.34,1
18,21.9,"M","General",68.5,0,15.25,1
19,24.8,"M","Special",66,0,14.99,1
20,22.1,"M","General",67.9,0,16.41,1
21,23.7,"F","General",90.4,0,17.59,1
22,21.2,"F","General",70.8,1,15.75,0
23,24.7,"M","General",81.6,0,15.55,1
24,21.9,"M","General",80.5,0,15.17,1
25,20.6,"F","General",72.7,0,14.05,1
26,24.6,"M","General",77.6,0,17.03,1
27,21.1,"M","Special",70.4,1,15.45,0
28,19.3,"F","General",73.1,0,14.05,1
29,23.6,"M","General",66.3,0,14.48,1
30,22.8,"M","General",58.8,0,14.36,1
31,23.8,"M","Special",68.5,0,14.89,1
32,22.1,"M","Special",64.8,0,17.29,1
33,22,"F","General",71.8,0,14.78,1
34,22.2,"F","General",88.7,0,17.22,1
35,23.6,"M","General",62.7,0,14.46,1
36,22,"F","Special",56.1,0,15.93,1
37,22.6,"M","General",62.4,0,13.88,1
38,22.8,"M","General",76.7,0,16.66,1
39,23.7,"M","General",70.7,0,14.56,1
40,20.4,"M","General",68.1,0,16.55,1
41,23.2,"F","General",60,0,15.14,1
42,23.9,"M","General",59.1,0,12.99,1
43,19.6,"F","General",77,0,17.4,1
44,23.3,"M","General",75.8,1,14.9,0
45,23.1,"F","Olympiad",80.1,0,17.08,1
46,18.6,"F","Olympiad",70.7,0,17.23,1
47,25.3,"F","General",57.7,0,14.62,1
48,20.9,"M","General",77.4,0,16.26,1
49,25.3,"M","General",65.8,0,14.89,1
50,24.9,"M","General",63.4,0,13.69,1
51,19.7,"M","General",65.2,0,15.79,1
52,22.8,"M","General",70.9,0,16.96,1
53,20.8,"F","General",88.8,0,16.24,1
54,18.5,"M","General",74.5,0,16.64,1
55,19.9,"F","General",76.1,0,16.07,1
56,22.7,"M","General",63.6,0,15.08,1
57,21.5,"M","Special",69.8,0,15.95,1
58,21.9,"M","General",58.5,0,16.22,1
59,21.2,"M","General",68.4,1,16.33,0
60,23.4,"F","General",55.6,0,13.28,1
61,22.3,"M","General",61.6,0,14.36,1
62,24.1,"M","SemiSpecial",75.1,0,15.01,1
63,19.5,"M","General",60.1,0,16.55,1
64,22.9,"M","General",67.8,0,16.26,1
65,20.4,"M","SemiSpecial",89.9,0,17.8,1
66,21.7,"M","SemiSpecial",69.9,0,15.59,1
67,23.4,"F","General",62,0,14.33,1
68,19.9,"M","General",77,1,15.24,0
69,22,"M","General",67.9,1,15.45,0
70,25.3,"M","General",67.2,0,16.59,1
71,20.6,"M","General",51.4,1,14.11,0
72,20.4,"M","General",66.1,0,14.13,1
73,22.3,"F","General",87.8,0,15.55,1
74,21,"F","General",71.4,0,16.28,1
75,24.4,"M","General",72.5,0,14.39,1
76,24.7,"F","General",75.1,0,16.39,1
77,19.6,"M","Olympiad",77.5,0,17.04,1
78,24.3,"M","General",76.2,0,16.01,1
79,22.1,"M","General",81.5,0,16.52,1
80,22.2,"F","General",83.8,0,16.24,1
