"year","school","cohort_size","mean_gpa","cbse_pass_rate","period","treated"
2017,"TUMS",157,16.47,0.851,"pre",1
2017,"UniB",143,16.29,0.828,"pre",0
2018,"TUMS",151,16.33,0.86,"pre",1
2018,"UniB",145,16.25,0.839,"pre",0
2019,"TUMS",152,16.4,0.851,"pre",1
2019,"UniB",126,16.28,0.843,"pre",0
2020,"TUMS",150,16.35,0.865,"pre",1
2020,"UniB",139,16.26,0.837,"pre",0
2021,"TUMS",158,16.44,0.856,"pre",1
2021,"UniB",144,16.22,0.838,"pre",0
2022,"TUMS",165,16.95,0.904,"post",1
2022,"UniB",137,16.39,0.834,"post",0
2023,"TUMS",142,17.04,0.913,"post",1
2023,"UniB",141,16.34,0.832,"post",0
2024,"TUMS",166,17.08,0.94,"post",1
2024,"UniB",141,16.36,0.824,"post",0
2025,"TUMS",151,17,0.897,"post",1
2025,"UniB",141,16.28,0.812,"post",0
2026,"TUMS",160,17.12,0.927,"post",1
2026,"UniB",129,16.27,0.823,"post",0
